anime_id, name                                                    , genre                                                                     , type , episodes, rating, members, rating_category
    5114, Fullmetal Alchemist: Brotherhood                        , "Action, Adventure, Drama, Fantasy, Magic, Military, Shounen"             , TV   , 64      ,   9.26,  793665, Excellent
    9253, Steins;Gate                                             , "Sci-Fi, Thriller"                                                        , TV   , 24      ,   9.17,  673572, Excellent
   11061, Hunter x Hunter (2011)                                  , "Action, Adventure, Shounen, Super Power"                                 , TV   , 148     ,   9.13,  425855, Excellent
    4181, Clannad: After Story                                    , "Drama, Fantasy, Romance, Slice of Life, Supernatural"                    , TV   , 24      ,   9.06,  456749, Excellent
     918, Gintama                                                 , "Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"            , TV   , 201     ,   9.04,  336376, Excellent
    2904, Code Geass: Hangyaku no Lelouch R2                      , "Action, Drama, Mecha, Military, Sci-Fi, Super Power"                     , TV   , 25      ,   8.98,  572888, Good
     199, Sen to Chihiro no Kamikakushi                           , "Adventure, Drama, Supernatural"                                          , Movie, 1       ,   8.93,  466254, Good
   23273, Shigatsu wa Kimi no Uso                                 , "Drama, Music, Romance, School, Shounen"                                  , TV   , 22      ,   8.92,  416397, Good
    1575, Code Geass: Hangyaku no Lelouch                         , "Action, Mecha, Military, School, Sci-Fi, Super Power"                    , TV   , 25      ,   8.83,  715151, Good
       1, Cowboy Bebop                                            , "Action, Adventure, Comedy, Drama, Sci-Fi, Space"                         , TV   , 26      ,   8.82,  486824, Good
   30276, One Punch Man                                           , "Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural"       , TV   , 12      ,   8.82,  552458, Good
     164, Mononoke Hime                                           , "Action, Adventure, Fantasy"                                              , Movie, 1       ,   8.81,  339556, Good
    2001, Tengen Toppa Gurren Lagann                              , "Action, Adventure, Comedy, Mecha, Sci-Fi"                                , TV   , 27      ,   8.78,  562962, Good
     431, Howl no Ugoku Shiro                                     , "Adventure, Drama, Fantasy, Romance"                                      , Movie, 1       ,   8.74,  333186, Good
   11741, Fate/Zero 2nd Season                                    , "Action, Fantasy, Supernatural, Thriller"                                 , TV   , 12      ,   8.73,  340973, Good
    1535, Death Note                                              , "Mystery, Police, Psychological, Supernatural, Thriller"                  , TV   , 37      ,   8.71, 1013917, Good
   31043, Boku dake ga Inai Machi                                 , "Mystery, Psychological, Seinen, Supernatural"                            , TV   , 12      ,   8.65,  402381, Good
   31240, Re:Zero kara Hajimeru Isekai Seikatsu                   , "Drama, Fantasy, Psychological, Thriller"                                 , TV   , 25      ,   8.64,  355839, Good
    9989, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai., "Drama, Slice of Life, Supernatural"                                      , TV   , 11      ,   8.62,  463835, Good
   28171, Shokugeki no Souma                                      , "Ecchi, School, Shounen"                                                  , TV   , 24      ,   8.61,  348951, Good
   22535, Kiseijuu: Sei no Kakuritsu                              , "Action, Drama, Horror, Psychological, Sci-Fi, Seinen"                    , TV   , 24      ,   8.59,  425457, Good
      21, One Piece                                               , "Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power"         , TV   , Unknown ,   8.58,  504862, Good
   16498, Shingeki no Kyojin                                      , "Action, Drama, Fantasy, Shounen, Super Power"                            , TV   , 25      ,   8.54,  896229, Good
    2251, Baccano!                                                , "Action, Comedy, Historical, Mystery, Seinen, Supernatural"               , TV   , 13      ,   8.54,  363215, Good
    9756, Mahou Shoujo Madoka★Magica                              , "Drama, Magic, Psychological, Thriller"                                   , TV   , 12      ,   8.51,  462974, Good
   10087, Fate/Zero                                               , "Action, Fantasy, Supernatural"                                           , TV   , 13      ,   8.51,  453630, Good
     205, Samurai Champloo                                        , "Action, Adventure, Comedy, Historical, Samurai, Shounen"                 , TV   , 26      ,   8.5 ,  390076, Good
   13601, Psycho-Pass                                             , "Action, Police, Psychological, Sci-Fi"                                   , TV   , 22      ,   8.5 ,  509109, Good
   19815, No Game No Life                                         , "Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural"                   , TV   , 12      ,   8.47,  602291, Good
   11771, Kuroko no Basket                                        , "Comedy, School, Shounen, Sports"                                         , TV   , 25      ,   8.46,  338315, Good
    4224, Toradora!                                               , "Comedy, Romance, School, Slice of Life"                                  , TV   , 25      ,   8.45,  633817, Good
   23755, Nanatsu no Taizai                                       , "Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural"                , TV   , 24      ,   8.42,  331627, Good
   13759, Sakurasou no Pet na Kanojo                              , "Comedy, Drama, Romance, School, Slice of Life"                           , TV   , 24      ,   8.4 ,  380375, Good
    6547, Angel Beats!                                            , "Action, Comedy, Drama, School, Supernatural"                             , TV   , 13      ,   8.39,  717796, Good
    5081, Bakemonogatari                                          , "Mystery, Romance, Supernatural, Vampire"                                 , TV   , 15      ,   8.39,  482268, Good
     853, Ouran Koukou Host Club                                  , "Comedy, Harem, Romance, School, Shoujo"                                  , TV   , 26      ,   8.39,  422271, Good
    6746, Durarara!!                                              , "Action, Mystery, Supernatural"                                           , TV   , 24      ,   8.38,  556431, Good
    2966, Ookami to Koushinryou                                   , "Adventure, Fantasy, Historical, Romance"                                 , TV   , 13      ,   8.37,  334932, Good
   28223, Death Parade                                            , "Drama, Game, Mystery, Psychological, Thriller"                           , TV   , 12      ,   8.33,  383914, Good
     121, Fullmetal Alchemist                                     , "Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"     , TV   , 51      ,   8.33,  600384, Good
      30, Neon Genesis Evangelion                                 , "Action, Dementia, Drama, Mecha, Psychological, Sci-Fi"                   , TV   , 26      ,   8.32,  461946, Good
     813, Dragon Ball Z                                           , "Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"  , TV   , 291     ,   8.32,  375662, Good
    2167, Clannad                                                 , "Comedy, Drama, Romance, School, Slice of Life, Supernatural"             , TV   , 23      ,   8.3 ,  566690, Good
    7054, Kaichou wa Maid-sama!                                   , "Comedy, Romance, School, Shoujo"                                         , TV   , 26      ,   8.26,  391628, Good
   23283, Zankyou no Terror                                       , "Psychological, Thriller"                                                 , TV   , 11      ,   8.26,  342893, Good
    2025, Darker than Black: Kuro no Keiyakusha                   , "Action, Mystery, Sci-Fi, Super Power"                                    , TV   , 25      ,   8.25,  440334, Good
   14513, Magi: The Labyrinth of Magic                            , "Action, Adventure, Fantasy, Magic, Shounen"                              , TV   , 25      ,   8.24,  317513, Good
   18679, Kill la Kill                                            , "Action, Comedy, School, Super Power"                                     , TV   , 24      ,   8.23,  508118, Good
    6702, Fairy Tail                                              , "Action, Adventure, Comedy, Fantasy, Magic, Shounen"                      , TV   , 175     ,   8.22,  584590, Good
    1482, D.Gray-man                                              , "Action, Adventure, Comedy, Shounen"                                      , TV   , 103     ,   8.2 ,  334399, Good
   24833, Ansatsu Kyoushitsu (TV)                                 , "Action, Comedy, School, Shounen"                                         , TV   , 22      ,   8.2 ,  312654, Good
    6045, Kimi ni Todoke                                          , "Romance, School, Shoujo, Slice of Life"                                  , TV   , 25      ,   8.19,  309339, Good
     934, Higurashi no Naku Koro ni                               , "Horror, Mystery, Psychological, Supernatural, Thriller"                  , TV   , 26      ,   8.17,  359494, Good
   12189, Hyouka                                                  , "Mystery, School, Slice of Life"                                          , TV   , 22      ,   8.17,  372246, Good
     889, Black Lagoon                                            , "Action, Seinen"                                                          , TV   , 12      ,   8.17,  332562, Good
   20507, Noragami                                                , "Action, Adventure, Shounen, Supernatural"                                , TV   , 12      ,   8.17,  515378, Good
     223, Dragon Ball                                             , "Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"          , TV   , 153     ,   8.16,  316102, Good
   17265, Log Horizon                                             , "Action, Adventure, Fantasy, Game, Magic, Shounen"                        , TV   , 25      ,   8.14,  387100, Good
   14813, Yahari Ore no Seishun Love Comedy wa Machigatteiru.     , "Comedy, Drama, Romance, School"                                          , TV   , 13      ,   8.12,  353876, Good
    1689, Byousoku 5 Centimeter                                   , "Drama, Romance, Slice of Life"                                           , Movie, 3       ,   8.1 ,  324035, Good
    3588, Soul Eater                                              , "Action, Adventure, Comedy, Fantasy, Shounen, Supernatural"               , TV   , 51      ,   8.08,  580184, Good
   10620, Mirai Nikki (TV)                                        , "Action, Mystery, Psychological, Shounen, Supernatural, Thriller"         , TV   , 26      ,   8.07,  657190, Good
   22319, Tokyo Ghoul                                             , "Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"     , TV   , 12      ,   8.07,  618056, Good
     227, FLCL                                                    , "Action, Comedy, Dementia, Mecha, Parody, Sci-Fi"                         , OVA  , 6       ,   8.06,  305165, Good
    4898, Kuroshitsuji                                            , "Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"      , TV   , 24      ,   8.06,  424919, Good
     849, Suzumiya Haruhi no Yuuutsu                              , "Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life"                  , TV   , 14      ,   8.06,  428569, Good
   15809, Hataraku Maou-sama!                                     , "Comedy, Demons, Fantasy, Romance, Shounen"                               , TV   , 13      ,   8.03,  409037, Good
   14741, Chuunibyou demo Koi ga Shitai!                          , "Comedy, Drama, Romance, School, Slice of Life"                           , TV   , 12      ,   7.95,  394399, Average
     269, Bleach                                                  , "Action, Comedy, Shounen, Super Power, Supernatural"                      , TV   , 366     ,   7.95,  624055, Average
    1735, Naruto: Shippuuden                                      , "Action, Comedy, Martial Arts, Shounen, Super Power"                      , TV   , Unknown ,   7.94,  533578, Average
    1818, Claymore                                                , "Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural"  , TV   , 26      ,   7.92,  316853, Average
